광역시도,시군구,위도,경도
경기도,포천시,37.8949,127.2003
충청남도,부여군,36.2755,126.9095
경상남도,고성군,34.9754,128.3234
경상북도,포항시,36.019,129.3435
경상남도,남해군,34.8377,127.8924
경기도,고양시,37.6584,126.832
전라남도,신안군,34.8336,126.1086
전라남도,무안군,34.9902,126.4817
경기도,이천시,37.2723,127.4351
충청북도,진천군,36.8553,127.4357
충북,음성군,36.9917,127.6409
충청남도,보령시,36.3333,126.6127
충청북도,음성군,36.9917,127.6409
경남,남해군,34.8377,127.8924
대구광역시,대구광역시,35.8714,128.6014
전남,무안군,34.9902,126.4817
경기도,파주시,37.76,126.7798
전남,나주시,35.0161,126.7107
경기도,경기도,37.2752,127.0096
경상북도,경주시,35.8562,129.2247
경기도,남양주시,37.636,127.2165
충북,진천군,36.8553,127.4357
전라남도,여수시,34.7604,127.6622
경상남도,하동군,35.0672,127.7513
경기도,성남시,37.42,127.1265
경상북도,칠곡군,35.9959,128.4019
경상남도,경상남도,35.2383,128.6924
경상남도,진주시,35.1803,128.1076
경기도,용인시,37.241,127.1775
경상북도,청도군,35.6474,128.734
충북,충주시,36.9915,127.9262
경기도,평택시,36.9921,127.1129
경기도,김포시,37.6152,126.7157
충청남도,예산군,36.6811,126.8455
충남,예산군,36.6811,126.8455
부산광역시,부산광역시,35.1765,129.0797
경기,남양주시,37.636,127.2165
서울특별시,은평구,37.6027,126.9291
경남,진주시,35.1803,128.1076
경기도,가평군,37.8315,127.5097
경기,이천시,37.2723,127.4351
경상남도,산청군,35.4156,127.8735
전라남도,해남군,34.5735,126.6
경상남도,의령군,35.3221,128.2618
전남,고흥군,34.6062,127.2847
충북,청주시,36.6424,127.489
전남,여수시,34.7604,127.6622
서울,송파구,37.5145,127.1066
경기,포천시,37.8949,127.2003
충남,부여군,36.2755,126.9095
대구광역시,달성군,35.8714,128.6014
대구,북구,35.8714,128.6014
경기도,여주군,37.2982,127.6373
경기도,양평군,37.4918,127.4876
경기도,하남시,37.5393,127.2148
전북,정읍시,35.5699,126.8577
경남,거창군,35.6865,127.9095
전북,고창군,35.4358,126.702
전남,해남군,34.5735,126.6
인천광역시,계양구,37.4563,126.7052
충청남도,논산시,36.1872,127.0987
충청북도,충주시,36.9915,127.9262
